time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2019-04-01T00:00:00.0000000Z;2019-04-02T00:00:00.0000000Z;2019-04-01T00:01:00.0000000Z;2019-04-01T23:59:00.0000000Z;4094.194776005293;4148.524601832779;4053.9050813154004;4136.792570641944
2019-04-02T00:00:00.0000000Z;2019-04-03T00:00:00.0000000Z;2019-04-02T00:01:00.0000000Z;2019-04-02T23:59:00.0000000Z;4136.882309533725;5061.952283489412;4133.437331176336;4906.191869012707
2019-04-03T00:00:00.0000000Z;2019-04-04T00:00:00.0000000Z;2019-04-03T00:01:00.0000000Z;2019-04-03T23:59:00.0000000Z;4899.4119499703365;5334.70125174409;4819.950879208921;4972.779163498318
2019-04-04T00:00:00.0000000Z;2019-04-05T00:00:00.0000000Z;2019-04-04T00:01:00.0000000Z;2019-04-04T23:59:00.0000000Z;4972.996287352596;5067.430036790227;4782.359251691807;4905.171613696097
2019-04-05T00:00:00.0000000Z;2019-04-06T00:00:00.0000000Z;2019-04-05T00:01:00.0000000Z;2019-04-05T23:59:00.0000000Z;4913.683667658887;5056.930728453311;4888.315179663064;5037.60852325824
2019-04-06T00:00:00.0000000Z;2019-04-07T00:00:00.0000000Z;2019-04-06T00:01:00.0000000Z;2019-04-06T23:59:00.0000000Z;5036.187510710307;5236.721156359314;4931.983848549085;5043.305348231575
2019-04-07T00:00:00.0000000Z;2019-04-08T00:00:00.0000000Z;2019-04-07T00:01:00.0000000Z;2019-04-07T23:59:00.0000000Z;5042.9455339450915;5246.213962605673;5030.12175176904;5195.866758472039
2019-04-08T00:00:00.0000000Z;2019-04-09T00:00:00.0000000Z;2019-04-08T00:01:00.0000000Z;2019-04-08T23:59:00.0000000Z;5179.9597547697185;5336.299697494022;5136.4081786630295;5293.449409924421
2019-04-09T00:00:00.0000000Z;2019-04-10T00:00:00.0000000Z;2019-04-09T00:01:00.0000000Z;2019-04-09T23:59:00.0000000Z;5281.275951445343;5281.275951445343;5148.762683455083;5191.069148332767
2019-04-10T00:00:00.0000000Z;2019-04-11T00:00:00.0000000Z;2019-04-10T00:01:00.0000000Z;2019-04-10T23:59:00.0000000Z;5189.769514964822;5458.695657107757;5170.394354566685;5323.48335751672
2019-04-11T00:00:00.0000000Z;2019-04-12T00:00:00.0000000Z;2019-04-11T00:01:00.0000000Z;2019-04-11T23:59:00.0000000Z;5330.290065982728;5344.0683361923;4977.299398512181;5044.38303770638
2019-04-12T00:00:00.0000000Z;2019-04-13T00:00:00.0000000Z;2019-04-12T00:01:00.0000000Z;2019-04-12T23:59:00.0000000Z;5041.643162117708;5109.371634383914;4923.41656705616;5078.812707202878
2019-04-13T00:00:00.0000000Z;2019-04-14T00:00:00.0000000Z;2019-04-13T00:01:00.0000000Z;2019-04-13T23:59:00.0000000Z;5076.976506357342;5124.896409302897;5048.206465382029;5069.279009675977
2019-04-14T00:00:00.0000000Z;2019-04-15T00:00:00.0000000Z;2019-04-14T00:01:00.0000000Z;2019-04-14T23:59:00.0000000Z;5064.479470119704;5179.686493367477;5026.077744667537;5162.048154051578
2019-04-15T00:00:00.0000000Z;2019-04-16T00:00:00.0000000Z;2019-04-15T00:01:00.0000000Z;2019-04-15T23:59:00.0000000Z;5165.502129520758;5187.524871787302;4960.4468871100735;5035.622449983751
2019-04-16T00:00:00.0000000Z;2019-04-17T00:00:00.0000000Z;2019-04-16T00:01:00.0000000Z;2019-04-16T23:59:00.0000000Z;5028.549390806999;5226.563295647513;5021.019024923108;5204.024091688891
2019-04-17T00:00:00.0000000Z;2019-04-18T00:00:00.0000000Z;2019-04-17T00:01:00.0000000Z;2019-04-17T23:59:00.0000000Z;5205.051887819793;5262.235700153677;5178.777029940463;5228.531373461617
2019-04-18T00:00:00.0000000Z;2019-04-19T00:00:00.0000000Z;2019-04-18T00:01:00.0000000Z;2019-04-18T23:59:00.0000000Z;5226.079499291993;5315.112692615815;5222.737360987157;5280.059728505556
2019-04-19T00:00:00.0000000Z;2019-04-20T00:00:00.0000000Z;2019-04-19T00:01:00.0000000Z;2019-04-19T23:59:00.0000000Z;5280.881668595152;5347.626545118736;5204.716730442986;5288.455231245874
2019-04-20T00:00:00.0000000Z;2019-04-21T00:00:00.0000000Z;2019-04-20T00:01:00.0000000Z;2019-04-20T23:59:00.0000000Z;5289.933195627928;5361.793288066641;5259.641283529183;5318.575894219948
2019-04-21T00:00:00.0000000Z;2019-04-22T00:00:00.0000000Z;2019-04-21T00:01:00.0000000Z;2019-04-21T23:59:00.0000000Z;5318.59895190293;5343.056549912809;5227.58268273201;5296.395695373224
2019-04-22T00:00:00.0000000Z;2019-04-23T00:00:00.0000000Z;2019-04-22T00:01:00.0000000Z;2019-04-22T23:59:00.0000000Z;5298.465401138731;5430.663538300676;5257.0182572861995;5386.773472389534
2019-04-23T00:00:00.0000000Z;2019-04-24T00:00:00.0000000Z;2019-04-23T00:01:00.0000000Z;2019-04-23T23:59:00.0000000Z;5387.72218338862;5629.806028388453;5364.960477416414;5537.634232798068
2019-04-24T00:00:00.0000000Z;2019-04-25T00:00:00.0000000Z;2019-04-24T00:01:00.0000000Z;2019-04-24T23:59:00.0000000Z;5529.306218937931;5619.047569741651;5377.337643600816;5441.603508447396
2019-04-25T00:00:00.0000000Z;2019-04-26T00:00:00.0000000Z;2019-04-25T00:01:00.0000000Z;2019-04-25T23:59:00.0000000Z;5439.56203003359;5510.002304736469;4994.325590765407;5135.052849202691
2019-04-26T00:00:00.0000000Z;2019-04-27T00:00:00.0000000Z;2019-04-26T00:01:00.0000000Z;2019-04-26T23:59:00.0000000Z;5126.687451904736;5260.053218214273;5056.372732926727;5154.070619607887
2019-04-27T00:00:00.0000000Z;2019-04-28T00:00:00.0000000Z;2019-04-27T00:01:00.0000000Z;2019-04-27T23:59:00.0000000Z;5155.1395421176085;5213.733570199013;5118.572555205474;5169.939198577056
2019-04-28T00:00:00.0000000Z;2019-04-29T00:00:00.0000000Z;2019-04-28T00:01:00.0000000Z;2019-04-28T23:59:00.0000000Z;5171.0695171115085;5212.574385868567;5113.496117071557;5161.3916576404545
2019-04-29T00:00:00.0000000Z;2019-04-30T00:00:00.0000000Z;2019-04-29T00:01:00.0000000Z;2019-04-29T23:59:00.0000000Z;5153.39926915969;5187.930192113272;5083.211660511758;5148.383255552596
2019-04-30T00:00:00.0000000Z;2019-05-01T00:00:00.0000000Z;2019-04-30T00:01:00.0000000Z;2019-04-30T23:59:00.0000000Z;5149.783468785567;5285.182039118201;5128.369351330283;5268.804706569535
2019-05-01T00:00:00.0000000Z;2019-05-02T00:00:00.0000000Z;2019-05-01T00:00:00.0000000Z;2019-05-01T00:00:00.0000000Z;5268.804706569535;5268.804706569535;5268.804706569535;5268.804706569535
2019-05-02T00:00:00.0000000Z;2019-05-03T00:00:00.0000000Z;2019-05-02T00:01:00.0000000Z;2019-05-02T23:59:00.0000000Z;5325.422739674379;5419.201194890818;5309.271499402877;5391.204774515227
2019-05-03T00:00:00.0000000Z;2019-05-04T00:00:00.0000000Z;2019-05-03T00:01:00.0000000Z;2019-05-03T23:59:00.0000000Z;5386.135853880552;5794.447323661873;5367.9247822158;5657.941142502353
2019-05-04T00:00:00.0000000Z;2019-05-05T00:00:00.0000000Z;2019-05-04T00:01:00.0000000Z;2019-05-04T23:59:00.0000000Z;5658.91522671264;5826.251747600999;5527.693476933211;5773.463630953325
2019-05-05T00:00:00.0000000Z;2019-05-06T00:00:00.0000000Z;2019-05-05T00:01:00.0000000Z;2019-05-05T23:59:00.0000000Z;5775.056019257347;5777.290186946354;5641.921135087192;5715.822427738288
2019-05-06T00:00:00.0000000Z;2019-05-07T00:00:00.0000000Z;2019-05-06T00:01:00.0000000Z;2019-05-06T23:59:00.0000000Z;5716.275852154186;5750.892369719823;5572.117169689659;5682.762567142205
2019-05-07T00:00:00.0000000Z;2019-05-08T00:00:00.0000000Z;2019-05-07T00:01:00.0000000Z;2019-05-07T23:59:00.0000000Z;5689.15465952528;5956.296721065082;5689.15465952528;5758.1070653367615
