time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2019-04-24T00:00:00.0000000Z;2019-04-25T00:00:00.0000000Z;2019-04-24T09:41:00.0000000Z;2019-04-24T23:59:00.0000000Z;0.006043067597900492;0.04010352426585028;0.006031077683834257;0.04000855339806139
2019-04-25T00:00:00.0000000Z;2019-04-26T00:00:00.0000000Z;2019-04-25T01:55:00.0000000Z;2019-04-25T23:59:00.0000000Z;0.010047923052990007;0.012091539816972917;0.008821983688976071;0.00895647566753951
2019-04-26T00:00:00.0000000Z;2019-04-27T00:00:00.0000000Z;2019-04-26T15:01:00.0000000Z;2019-04-26T23:59:00.0000000Z;0.005956543811631821;0.006182329847209107;0.004680367562882188;0.005298437720272404
2019-04-27T00:00:00.0000000Z;2019-04-28T00:00:00.0000000Z;2019-04-27T00:01:00.0000000Z;2019-04-27T23:59:00.0000000Z;0.005293541077974467;0.0056666739616576325;0.005025108840233993;0.005122319501583109
2019-04-28T00:00:00.0000000Z;2019-04-29T00:00:00.0000000Z;2019-04-28T00:01:00.0000000Z;2019-04-28T23:59:00.0000000Z;0.0051193588219403926;0.005122579084181918;0.00421346802913525;0.004320334685513601
2019-04-29T00:00:00.0000000Z;2019-04-30T00:00:00.0000000Z;2019-04-29T00:01:00.0000000Z;2019-04-29T23:59:00.0000000Z;0.004317063791141807;0.00439758043362877;0.0033954422251332808;0.0033954422251332808
2019-04-30T00:00:00.0000000Z;2019-05-01T00:00:00.0000000Z;2019-04-30T00:01:00.0000000Z;2019-04-30T23:59:00.0000000Z;0.0033988765415827638;0.004999778570499451;0.0033988765415827638;0.004412356620685489
2019-05-01T00:00:00.0000000Z;2019-05-02T00:00:00.0000000Z;2019-05-01T00:00:00.0000000Z;2019-05-01T00:00:00.0000000Z;0.004412356620685489;0.004412356620685489;0.004412356620685489;0.004412356620685489
2019-05-02T00:00:00.0000000Z;2019-05-03T00:00:00.0000000Z;2019-05-02T00:01:00.0000000Z;2019-05-02T23:59:00.0000000Z;0.004266427699689;0.004620571804733603;0.0040052076741320585;0.004103708431310627
2019-05-03T00:00:00.0000000Z;2019-05-04T00:00:00.0000000Z;2019-05-03T00:01:00.0000000Z;2019-05-03T23:59:00.0000000Z;0.004109415224357974;0.004323977034984959;0.0038662055380773077;0.004174276574043834
2019-05-04T00:00:00.0000000Z;2019-05-05T00:00:00.0000000Z;2019-05-04T00:01:00.0000000Z;2019-05-04T23:59:00.0000000Z;0.004187597267767355;0.004191123772984028;0.003753446392873832;0.003926461998929025
2019-05-05T00:00:00.0000000Z;2019-05-06T00:00:00.0000000Z;2019-05-05T00:02:00.0000000Z;2019-05-05T23:59:00.0000000Z;0.0039284945846398255;0.004023532904280755;0.0035333639794439156;0.0037073734069578345
2019-05-06T00:00:00.0000000Z;2019-05-07T00:00:00.0000000Z;2019-05-06T00:01:00.0000000Z;2019-05-06T23:59:00.0000000Z;0.0036584165453786796;0.003905418945293945;0.00347443122027889;0.0037364402092639535
